#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Flower_S8_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Flower_S8_R2_001.fastq.gz
#Total	102129820
#Matched	70665292	69.19163%
#Name	Reads	ReadsPct
5122	39440	0.03862%
1200	39188	0.03837%
8713	39184	0.03837%
21451	39044	0.03823%
102772	38868	0.03806%
13852	38666	0.03786%
62954	38214	0.03742%
3638	37520	0.03674%
4373	37333	0.03655%
1701	37305	0.03653%
4744	37297	0.03652%
7681	37022	0.03625%
267	36907	0.03614%
12737	36851	0.03608%
22678	36686	0.03592%
50911	36399	0.03564%
10535	36085	0.03533%
3230	35966	0.03522%
5500	35943	0.03519%
24575	35857	0.03511%
55388	35588	0.03485%
3628	35148	0.03442%
23133	35092	0.03436%
15773	35047	0.03432%
73770	34803	0.03408%
1806	34696	0.03397%
1482	34496	0.03378%
42651	34425	0.03371%
3163	34374	0.03366%
3305	34220	0.03351%
25695	33929	0.03322%
37290	33718	0.03301%
2642	32957	0.03227%
5457	32780	0.03210%
2246	32271	0.03160%
50556	32145	0.03147%
4513	31952	0.03129%
55503	31735	0.03107%
15515	31200	0.03055%
779	31040	0.03039%
12076	30727	0.03009%
6496	30689	0.03005%
105644	30002	0.02938%
14551	29527	0.02891%
26329	29366	0.02875%
2431	29346	0.02873%
13633	29276	0.02867%
10158	28864	0.02826%
29630	28675	0.02808%
13841	28299	0.02771%
7982	28143	0.02756%
11960	27848	0.02727%
90765	27121	0.02656%
33470	27076	0.02651%
2592	26596	0.02604%
27760	26495	0.02594%
257	26300	0.02575%
15137	26122	0.02558%
4413	26003	0.02546%
11199	25992	0.02545%
4457	25270	0.02474%
11695	25220	0.02469%
102	24914	0.02439%
767	24823	0.02431%
38922	24323	0.02382%
1030	24104	0.02360%
17438	24101	0.02360%
35053	24006	0.02351%
14208	24005	0.02350%
1003	23898	0.02340%
1279	23805	0.02331%
9616	23541	0.02305%
49488	23475	0.02299%
48407	23276	0.02279%
19151	22977	0.02250%
7704	22944	0.02247%
2450	22755	0.02228%
61812	22706	0.02223%
1692	22519	0.02205%
91282	22480	0.02201%
11175	22386	0.02192%
54118	22303	0.02184%
80926	22166	0.02170%
636	22137	0.02168%
27769	22095	0.02163%
52535	22085	0.02162%
161	21948	0.02149%
35541	21842	0.02139%
64244	21813	0.02136%
34982	21414	0.02097%
13339	21394	0.02095%
7288	21348	0.02090%
6	21342	0.02090%
29888	21284	0.02084%
62400	21255	0.02081%
115976	21170	0.02073%
19255	20998	0.02056%
6081	20563	0.02013%
9762	20549	0.02012%
25698	20425	0.02000%
3269	20353	0.01993%
47065	20304	0.01988%
15572	20050	0.01963%
56251	19988	0.01957%
7555	19837	0.01942%
2908	19830	0.01942%
24239	19748	0.01934%
1305	19711	0.01930%
36608	19684	0.01927%
5448	19346	0.01894%
5117	19260	0.01886%
44741	19176	0.01878%
1136	19122	0.01872%
4149	19038	0.01864%
29425	19011	0.01861%
13222	18900	0.01851%
66672	18820	0.01843%
44694	18802	0.01841%
56351	18716	0.01833%
5829	18675	0.01829%
232257	18667	0.01828%
33611	18416	0.01803%
6208	18235	0.01785%
18756	18211	0.01783%
89	18199	0.01782%
25841	18165	0.01779%
2595	18125	0.01775%
2077	18055	0.01768%
329921	18048	0.01767%
10871	17775	0.01740%
4777	17632	0.01726%
17138	17442	0.01708%
2907	17296	0.01694%
1232	17172	0.01681%
18255	17168	0.01681%
9735	17119	0.01676%
5455	16818	0.01647%
18483	16739	0.01639%
1443	16644	0.01630%
4036	16562	0.01622%
638	16488	0.01614%
1141	16386	0.01604%
1541	16385	0.01604%
3394	16340	0.01600%
41790	16239	0.01590%
90213	16219	0.01588%
2304	16204	0.01587%
8133	16188	0.01585%
1178	16045	0.01571%
24536	16002	0.01567%
5948	15968	0.01564%
59179	15901	0.01557%
5451	15762	0.01543%
39167	15698	0.01537%
100058	15664	0.01534%
177923	15535	0.01521%
1203	15317	0.01500%
20805	15314	0.01499%
11539	15311	0.01499%
186501	15264	0.01495%
6571	15257	0.01494%
62112	15132	0.01482%
5223	15002	0.01469%
21017	14999	0.01469%
12425	14916	0.01460%
9739	14795	0.01449%
4157	14708	0.01440%
6371	14646	0.01434%
12840	14505	0.01420%
478	14474	0.01417%
2567	14350	0.01405%
85770	14224	0.01393%
25219	14206	0.01391%
37	14095	0.01380%
741	14058	0.01376%
48844	13979	0.01369%
20431	13956	0.01366%
33587	13937	0.01365%
3578	13932	0.01364%
1157	13907	0.01362%
69430	13892	0.01360%
30406	13778	0.01349%
71882	13626	0.01334%
7298	13594	0.01331%
9999	13538	0.01326%
2691	13524	0.01324%
198763	13450	0.01317%
35050	13427	0.01315%
9455	13379	0.01310%
52620	13224	0.01295%
186	13167	0.01289%
4583	13124	0.01285%
84065	13102	0.01283%
4325	13082	0.01281%
31835	13035	0.01276%
51187	12658	0.01239%
10166	12633	0.01237%
4766	12383	0.01212%
85167	12362	0.01210%
171078	12302	0.01205%
16330	12270	0.01201%
771	12245	0.01199%
103	12202	0.01195%
38418	12145	0.01189%
2521	12090	0.01184%
2818	12075	0.01182%
20087	12069	0.01182%
78699	12046	0.01179%
6468	11958	0.01171%
47562	11826	0.01158%
23530	11699	0.01146%
3743	11669	0.01143%
274	11647	0.01140%
53985	11594	0.01135%
6002	11526	0.01129%
83	11505	0.01127%
4786	11427	0.01119%
7596	11355	0.01112%
5670	11315	0.01108%
1057	11297	0.01106%
1364	11294	0.01106%
1179	11221	0.01099%
8200	11084	0.01085%
12830	11079	0.01085%
78651	11042	0.01081%
2435	10868	0.01064%
21814	10867	0.01064%
56849	10700	0.01048%
1618	10697	0.01047%
4727	10673	0.01045%
5687	10613	0.01039%
69409	10579	0.01036%
68623	10573	0.01035%
41144	10532	0.01031%
4226	10478	0.01026%
49834	10468	0.01025%
32460	10452	0.01023%
11834	10409	0.01019%
1447	10373	0.01016%
25018	10362	0.01015%
10280	10285	0.01007%
99674	10139	0.00993%
5888	10136	0.00992%
66139	10136	0.00992%
22391	10080	0.00987%
54163	10037	0.00983%
76420	10032	0.00982%
30104	9908	0.00970%
133	9812	0.00961%
23823	9801	0.00960%
52652	9755	0.00955%
7332	9612	0.00941%
42961	9562	0.00936%
2191	9474	0.00928%
3427	9342	0.00915%
17585	9337	0.00914%
17468	9313	0.00912%
1990	9307	0.00911%
389	9287	0.00909%
3938	9260	0.00907%
18328	9251	0.00906%
20794	9206	0.00901%
80861	9197	0.00901%
740	9144	0.00895%
2520	9115	0.00892%
20636	9090	0.00890%
3533	9085	0.00890%
7275	9079	0.00889%
56947	9035	0.00885%
71874	9026	0.00884%
4977	8946	0.00876%
50851	8891	0.00871%
19361	8860	0.00868%
29518	8782	0.00860%
33757	8777	0.00859%
21150	8695	0.00851%
17003	8559	0.00838%
79283	8532	0.00835%
16456	8495	0.00832%
31704	8465	0.00829%
4526	8437	0.00826%
217	8407	0.00823%
54195	8388	0.00821%
24107	8300	0.00813%
55615	8267	0.00809%
858	8103	0.00793%
5052	8045	0.00788%
759	8045	0.00788%
8005	7971	0.00780%
5725	7935	0.00777%
637	7916	0.00775%
4	7884	0.00772%
44872	7846	0.00768%
12039	7821	0.00766%
1628	7786	0.00762%
24911	7728	0.00757%
1081	7658	0.00750%
4066	7643	0.00748%
48568	7612	0.00745%
8261	7561	0.00740%
72870	7553	0.00740%
62126	7522	0.00737%
970	7496	0.00734%
71521	7485	0.00733%
13912	7477	0.00732%
22505	7407	0.00725%
190625	7396	0.00724%
7499	7383	0.00723%
2169	7377	0.00722%
12494	7373	0.00722%
14088	7351	0.00720%
20120	7344	0.00719%
3332	7275	0.00712%
2455	7234	0.00708%
162257	7183	0.00703%
41504	7180	0.00703%
11043	7172	0.00702%
215924	7168	0.00702%
8807	7152	0.00700%
114872	7109	0.00696%
58496	7091	0.00694%
7976	7080	0.00693%
14929	7061	0.00691%
4447	7014	0.00687%
2067	7004	0.00686%
4085	6993	0.00685%
1742	6987	0.00684%
11611	6960	0.00681%
14330	6929	0.00678%
