#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Leaf_S2_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Leaf_S2_R2_001.fastq.gz
#Total	98405454
#Matched	30241328	30.73135%
#Name	Reads	ReadsPct
21452	17859	0.01815%
4867	17566	0.01785%
80926	17379	0.01766%
4373	17338	0.01762%
12737	17200	0.01748%
6599	17073	0.01735%
33973	16854	0.01713%
791	16782	0.01705%
267	16773	0.01704%
55388	16705	0.01698%
10158	16388	0.01665%
29630	16304	0.01657%
3163	16297	0.01656%
643	16217	0.01648%
16571	16202	0.01646%
13633	16187	0.01645%
9376	16110	0.01637%
1701	15872	0.01613%
73770	15801	0.01606%
3230	15689	0.01594%
34982	15646	0.01590%
1200	15556	0.01581%
25695	15526	0.01578%
257	15525	0.01578%
31880	15520	0.01577%
16853	15274	0.01552%
37290	15259	0.01551%
4244	15204	0.01545%
19151	14992	0.01523%
2007	14984	0.01523%
14551	14807	0.01505%
70936	14804	0.01504%
5448	14697	0.01494%
35541	14633	0.01487%
6496	14462	0.01470%
779	14344	0.01458%
15572	14298	0.01453%
35053	14274	0.01451%
102772	14107	0.01434%
5500	14074	0.01430%
64128	14063	0.01429%
767	13908	0.01413%
42651	13864	0.01409%
3638	13786	0.01401%
54118	13703	0.01393%
27769	13678	0.01390%
3628	13589	0.01381%
3305	13574	0.01379%
4149	13569	0.01379%
15773	13295	0.01351%
2450	13036	0.01325%
50556	12923	0.01313%
100058	12868	0.01308%
4325	12705	0.01291%
636	12605	0.01281%
55503	12493	0.01270%
105644	12492	0.01269%
24239	12358	0.01256%
62954	12276	0.01247%
1203	12266	0.01246%
5829	12205	0.01240%
9616	12120	0.01232%
11175	12066	0.01226%
38922	12033	0.01223%
1003	11984	0.01218%
33587	11765	0.01196%
4413	11697	0.01189%
4457	11676	0.01187%
2592	11658	0.01185%
2246	11602	0.01179%
85770	11579	0.01177%
7982	11498	0.01168%
9762	11425	0.01161%
5457	11343	0.01153%
27760	11276	0.01146%
49488	11262	0.01144%
11199	11133	0.01131%
8713	11093	0.01127%
5451	11081	0.01126%
2431	10995	0.01117%
956	10979	0.01116%
8133	10976	0.01115%
2642	10946	0.01112%
13841	10929	0.01111%
48407	10882	0.01106%
1692	10739	0.01091%
102	10688	0.01086%
52535	10594	0.01077%
7298	10558	0.01073%
44741	10532	0.01070%
31835	10510	0.01068%
15515	10458	0.01063%
30406	10234	0.01040%
61812	10046	0.01021%
56251	9997	0.01016%
90213	9928	0.01009%
3394	9904	0.01006%
15137	9749	0.00991%
29888	9746	0.00990%
11960	9695	0.00985%
11695	9631	0.00979%
18756	9528	0.00968%
12076	9504	0.00966%
90765	9436	0.00959%
26329	9348	0.00950%
215924	9228	0.00938%
2304	9205	0.00935%
25698	9146	0.00929%
2691	9094	0.00924%
4157	9087	0.00923%
47065	9036	0.00918%
10871	8980	0.00913%
5455	8945	0.00909%
21017	8937	0.00908%
2908	8916	0.00906%
115976	8915	0.00906%
1279	8870	0.00901%
7704	8866	0.00901%
64244	8829	0.00897%
171078	8728	0.00887%
232257	8671	0.00881%
1141	8620	0.00876%
1305	8610	0.00875%
20805	8551	0.00869%
5463	8529	0.00867%
48844	8502	0.00864%
66	8418	0.00855%
7555	8409	0.00855%
19255	8372	0.00851%
6	8252	0.00839%
17138	8238	0.00837%
44694	8192	0.00832%
14208	8145	0.00828%
4583	8133	0.00826%
638	8104	0.00824%
29518	8072	0.00820%
161	8009	0.00814%
41144	8009	0.00814%
24536	8000	0.00813%
89	7975	0.00810%
9999	7934	0.00806%
7288	7876	0.00800%
186501	7871	0.00800%
91282	7811	0.00794%
2595	7806	0.00793%
49834	7806	0.00793%
329921	7785	0.00791%
3269	7766	0.00789%
41790	7721	0.00785%
53965	7710	0.00783%
33611	7680	0.00780%
1030	7665	0.00779%
20794	7631	0.00775%
84065	7550	0.00767%
25841	7458	0.00758%
13339	7441	0.00756%
9455	7423	0.00754%
741	7400	0.00752%
56351	7371	0.00749%
29425	7298	0.00742%
17438	7281	0.00740%
186	7226	0.00734%
53985	7221	0.00734%
1157	7196	0.00731%
6208	7179	0.00730%
9739	7114	0.00723%
13222	7108	0.00722%
1232	7073	0.00719%
66672	7041	0.00716%
4777	6918	0.00703%
36608	6850	0.00696%
4036	6831	0.00694%
20431	6809	0.00692%
62112	6765	0.00687%
68623	6748	0.00686%
6081	6721	0.00683%
6468	6704	0.00681%
2907	6618	0.00673%
8037	6552	0.00666%
80861	6500	0.00661%
83	6491	0.00660%
2567	6453	0.00656%
1443	6451	0.00656%
5117	6451	0.00656%
20087	6404	0.00651%
5948	6400	0.00650%
25018	6358	0.00646%
2077	6325	0.00643%
52620	6325	0.00643%
2520	6309	0.00641%
12830	6304	0.00641%
62400	6225	0.00633%
5223	6212	0.00631%
25219	6083	0.00618%
9735	6083	0.00618%
18483	6068	0.00617%
11834	6005	0.00610%
59179	5994	0.00609%
2435	5960	0.00606%
3938	5903	0.00600%
6571	5890	0.00599%
10280	5882	0.00598%
65242	5876	0.00597%
2191	5795	0.00589%
198763	5793	0.00589%
5888	5787	0.00588%
478	5775	0.00587%
1136	5651	0.00574%
54195	5618	0.00571%
7844	5607	0.00570%
18255	5558	0.00565%
78699	5549	0.00564%
69430	5533	0.00562%
6371	5528	0.00562%
103	5506	0.00560%
