#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Seed_S6_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Seed_S6_R2_001.fastq.gz
#Total	102487828
#Matched	8597903	8.38919%
#Name	Reads	ReadsPct
84975	4983	0.00486%
8397	4956	0.00484%
16278	4920	0.00480%
917	4914	0.00479%
17418	4869	0.00475%
212	4854	0.00474%
46927	4830	0.00471%
37290	4824	0.00471%
55660	4791	0.00467%
21554	4682	0.00457%
83	4662	0.00455%
23353	4658	0.00454%
67851	4656	0.00454%
23133	4653	0.00454%
20821	4650	0.00454%
32630	4634	0.00452%
23305	4622	0.00451%
76457	4588	0.00448%
15250	4552	0.00444%
58297	4538	0.00443%
9376	4523	0.00441%
15572	4500	0.00439%
127	4482	0.00437%
16147	4454	0.00435%
1806	4454	0.00435%
28120	4393	0.00429%
111826	4381	0.00427%
12084	4380	0.00427%
35053	4362	0.00426%
7870	4349	0.00424%
105644	4290	0.00419%
12359	4269	0.00417%
5525	4265	0.00416%
17100	4192	0.00409%
3	4182	0.00408%
7298	4170	0.00407%
22678	4155	0.00405%
842	4084	0.00398%
9917	4065	0.00397%
42651	4017	0.00392%
83746	3950	0.00385%
11611	3946	0.00385%
4620	3925	0.00383%
72135	3917	0.00382%
101451	3820	0.00373%
73220	3799	0.00371%
1200	3761	0.00367%
40895	3754	0.00366%
11287	3751	0.00366%
103630	3747	0.00366%
73770	3664	0.00358%
18756	3655	0.00357%
25018	3631	0.00354%
5523	3624	0.00354%
7443	3591	0.00350%
1146	3522	0.00344%
1482	3511	0.00343%
29431	3509	0.00342%
14208	3506	0.00342%
3501	3502	0.00342%
21451	3501	0.00342%
17559	3494	0.00341%
600	3477	0.00339%
970	3475	0.00339%
156754	3420	0.00334%
49838	3403	0.00332%
2620	3381	0.00330%
1913	3346	0.00326%
47982	3339	0.00326%
22391	3317	0.00324%
2007	3309	0.00323%
1051	3306	0.00323%
33973	3290	0.00321%
4244	3273	0.00319%
3394	3261	0.00318%
257	3245	0.00317%
4413	3245	0.00317%
40458	3217	0.00314%
7359	3212	0.00313%
42488	3208	0.00313%
396	3171	0.00309%
55503	3145	0.00307%
26967	3133	0.00306%
85770	3122	0.00305%
32695	3112	0.00304%
11199	3100	0.00302%
4541	3075	0.00300%
4373	3042	0.00297%
22617	3038	0.00296%
1079	3022	0.00295%
9762	2982	0.00291%
20404	2968	0.00290%
171078	2960	0.00289%
126797	2940	0.00287%
1277	2918	0.00285%
485	2916	0.00285%
20598	2911	0.00284%
1330	2856	0.00279%
19151	2853	0.00278%
9999	2847	0.00278%
11667	2840	0.00277%
9616	2837	0.00277%
3586	2832	0.00276%
5122	2831	0.00276%
13043	2818	0.00275%
115499	2777	0.00271%
44741	2771	0.00270%
7605	2768	0.00270%
3230	2751	0.00268%
7702	2747	0.00268%
62112	2728	0.00266%
38235	2690	0.00262%
96737	2690	0.00262%
21452	2656	0.00259%
4457	2655	0.00259%
156096	2645	0.00258%
16552	2639	0.00257%
4388	2626	0.00256%
16571	2621	0.00256%
67158	2621	0.00256%
34982	2615	0.00255%
2595	2610	0.00255%
16853	2608	0.00254%
5522	2598	0.00253%
3976	2583	0.00252%
383	2577	0.00251%
3009	2576	0.00251%
166715	2575	0.00251%
69266	2570	0.00251%
6330	2569	0.00251%
19897	2568	0.00251%
161	2544	0.00248%
18654	2539	0.00248%
23584	2500	0.00244%
14551	2493	0.00243%
17381	2488	0.00243%
1003	2463	0.00240%
8614	2462	0.00240%
13222	2454	0.00239%
7681	2428	0.00237%
12737	2425	0.00237%
1063	2421	0.00236%
3363	2413	0.00235%
4149	2408	0.00235%
7333	2343	0.00229%
23530	2317	0.00226%
31835	2312	0.00226%
28804	2311	0.00225%
7982	2298	0.00224%
28574	2291	0.00224%
7114	2281	0.00223%
4777	2279	0.00222%
102	2243	0.00219%
90765	2242	0.00219%
155	2229	0.00217%
24536	2186	0.00213%
65551	2179	0.00213%
5737	2173	0.00212%
25695	2168	0.00212%
9874	2161	0.00211%
17438	2145	0.00209%
5500	2143	0.00209%
2526	2132	0.00208%
549	2128	0.00208%
779	2126	0.00207%
54742	2119	0.00207%
5829	2116	0.00206%
198763	2113	0.00206%
548	2095	0.00204%
22059	2080	0.00203%
54163	2060	0.00201%
19255	2042	0.00199%
3838	2025	0.00198%
6599	2022	0.00197%
11175	2021	0.00197%
14891	2009	0.00196%
64128	2008	0.00196%
38922	1986	0.00194%
27760	1977	0.00193%
7117	1976	0.00193%
29920	1972	0.00192%
67445	1964	0.00192%
1178	1937	0.00189%
767	1933	0.00189%
63043	1932	0.00189%
39755	1930	0.00188%
29888	1928	0.00188%
9692	1920	0.00187%
74287	1917	0.00187%
6181	1914	0.00187%
48407	1895	0.00185%
432	1892	0.00185%
21017	1876	0.00183%
3561	1864	0.00182%
38186	1861	0.00182%
1486	1860	0.00181%
4786	1849	0.00180%
17796	1846	0.00180%
2345	1842	0.00180%
3163	1840	0.00180%
3938	1825	0.00178%
4224	1825	0.00178%
52535	1824	0.00178%
54195	1820	0.00178%
80836	1788	0.00174%
24107	1776	0.00173%
4134	1767	0.00172%
145975	1766	0.00172%
115976	1759	0.00172%
2650	1758	0.00172%
102772	1755	0.00171%
186	1751	0.00171%
48851	1747	0.00170%
71882	1743	0.00170%
11695	1740	0.00170%
9739	1734	0.00169%
19173	1731	0.00169%
2592	1721	0.00168%
49488	1718	0.00168%
46983	1717	0.00168%
6571	1715	0.00167%
57510	1703	0.00166%
38580	1695	0.00165%
78699	1695	0.00165%
3514	1684	0.00164%
13093	1658	0.00162%
2304	1648	0.00161%
17598	1641	0.00160%
6208	1641	0.00160%
215924	1633	0.00159%
20636	1620	0.00158%
16330	1619	0.00158%
49834	1619	0.00158%
1692	1612	0.00157%
1336	1611	0.00157%
2246	1611	0.00157%
25339	1606	0.00157%
5888	1590	0.00155%
7288	1586	0.00155%
2567	1580	0.00154%
8200	1577	0.00154%
56947	1573	0.00153%
6496	1570	0.00153%
20794	1565	0.00153%
64244	1559	0.00152%
11960	1547	0.00151%
8787	1534	0.00150%
267	1532	0.00149%
12883	1531	0.00149%
816	1531	0.00149%
12830	1523	0.00149%
615	1517	0.00148%
232257	1501	0.00146%
6468	1497	0.00146%
27769	1495	0.00146%
1141	1487	0.00145%
32794	1477	0.00144%
89	1475	0.00144%
55312	1473	0.00144%
25698	1469	0.00143%
30977	1466	0.00143%
4583	1457	0.00142%
1320	1454	0.00142%
18501	1444	0.00141%
49071	1439	0.00140%
31436	1437	0.00140%
33611	1437	0.00140%
1305	1430	0.00140%
47065	1426	0.00139%
20805	1424	0.00139%
741	1420	0.00139%
53985	1415	0.00138%
5455	1399	0.00137%
42961	1398	0.00136%
56720	1396	0.00136%
78375	1396	0.00136%
3628	1391	0.00136%
7844	1376	0.00134%
621	1375	0.00134%
12	1371	0.00134%
643	1371	0.00134%
76456	1371	0.00134%
2199	1357	0.00132%
12039	1345	0.00131%
4727	1343	0.00131%
7555	1337	0.00130%
1253	1334	0.00130%
4766	1311	0.00128%
18725	1307	0.00128%
10871	1303	0.00127%
20087	1295	0.00126%
791	1284	0.00125%
248165	1278	0.00125%
2468	1273	0.00124%
56475	1272	0.00124%
17138	1269	0.00124%
15515	1251	0.00122%
508	1249	0.00122%
18483	1247	0.00122%
8713	1247	0.00122%
32468	1245	0.00121%
1157	1236	0.00121%
