#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Female_S1_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Female_S1_R2_001.fastq.gz
#Total	121737828
#Matched	8242143	6.77040%
#Name	Reads	ReadsPct
6780	5387	0.00443%
76456	5382	0.00442%
6451	5373	0.00441%
1482	5340	0.00439%
2345	5326	0.00437%
21452	5296	0.00435%
267	5225	0.00429%
24575	5219	0.00429%
33470	5202	0.00427%
7681	5179	0.00425%
126797	5157	0.00424%
15876	5138	0.00422%
3295	5098	0.00419%
549	4960	0.00407%
11667	4951	0.00407%
779	4909	0.00403%
257	4893	0.00402%
4513	4876	0.00401%
4867	4852	0.00399%
73770	4844	0.00398%
35053	4679	0.00384%
14551	4666	0.00383%
4744	4609	0.00379%
10535	4503	0.00370%
100058	4494	0.00369%
22678	4425	0.00363%
10392	4374	0.00359%
29630	4372	0.00359%
38235	4350	0.00357%
791	4230	0.00347%
6181	4224	0.00347%
29920	4167	0.00342%
10158	4133	0.00340%
4373	4127	0.00339%
19151	4121	0.00339%
85770	4004	0.00329%
13633	3990	0.00328%
3163	3974	0.00326%
4149	3907	0.00321%
64128	3905	0.00321%
5448	3893	0.00320%
3628	3848	0.00316%
54118	3848	0.00316%
1003	3845	0.00316%
1109	3809	0.00313%
48407	3805	0.00313%
15572	3795	0.00312%
12737	3772	0.00310%
6599	3755	0.00308%
3230	3747	0.00308%
55388	3737	0.00307%
1200	3700	0.00304%
7298	3697	0.00304%
31880	3672	0.00302%
55503	3660	0.00301%
636	3658	0.00300%
37290	3644	0.00299%
70936	3641	0.00299%
44694	3608	0.00296%
5500	3591	0.00295%
15773	3550	0.00292%
1701	3530	0.00290%
2450	3479	0.00286%
643	3477	0.00286%
2007	3475	0.00285%
33587	3475	0.00285%
9376	3470	0.00285%
5457	3398	0.00279%
11539	3390	0.00278%
35541	3367	0.00277%
25695	3366	0.00276%
24239	3360	0.00276%
50556	3334	0.00274%
16571	3279	0.00269%
5451	3272	0.00269%
16853	3264	0.00268%
9762	3245	0.00267%
63693	3241	0.00266%
3638	3207	0.00263%
12218	3205	0.00263%
80926	3192	0.00262%
11199	3187	0.00262%
31835	3164	0.00260%
4244	3152	0.00259%
15137	3143	0.00258%
44741	3111	0.00256%
27769	3080	0.00253%
8713	3055	0.00251%
7704	3051	0.00251%
767	3042	0.00250%
1692	3005	0.00247%
42651	2995	0.00246%
6496	2964	0.00243%
10871	2956	0.00243%
4413	2943	0.00242%
2304	2906	0.00239%
25698	2906	0.00239%
102772	2886	0.00237%
115976	2871	0.00236%
68623	2850	0.00234%
4325	2835	0.00233%
11175	2834	0.00233%
7982	2831	0.00233%
61812	2814	0.00231%
21017	2808	0.00231%
4457	2776	0.00228%
2246	2775	0.00228%
105644	2720	0.00223%
38922	2691	0.00221%
248165	2677	0.00220%
5829	2653	0.00218%
12076	2608	0.00214%
25116	2588	0.00213%
102	2576	0.00212%
62954	2561	0.00210%
49488	2553	0.00210%
6	2537	0.00208%
2691	2534	0.00208%
3305	2522	0.00207%
20805	2499	0.00205%
232257	2497	0.00205%
6468	2466	0.00203%
5455	2455	0.00202%
39166	2454	0.00202%
27760	2441	0.00201%
17138	2423	0.00199%
4818	2416	0.00198%
741	2415	0.00198%
26329	2413	0.00198%
33513	2368	0.00195%
41790	2362	0.00194%
2908	2361	0.00194%
7288	2343	0.00192%
1305	2327	0.00191%
64244	2327	0.00191%
29888	2325	0.00191%
47065	2324	0.00191%
40410	2312	0.00190%
26527	2311	0.00190%
40126	2307	0.00190%
19255	2294	0.00188%
1203	2283	0.00188%
