#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Sheath_S3_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Sheath_S3_R2_001.fastq.gz
#Total	125653720
#Matched	80098850	63.74571%
#Name	Reads	ReadsPct
16571	45812	0.03646%
267	45596	0.03629%
76456	45293	0.03605%
33470	44873	0.03571%
24575	44629	0.03552%
4373	44536	0.03544%
33973	44456	0.03538%
16853	44247	0.03521%
12737	43961	0.03499%
31880	43800	0.03486%
2007	43758	0.03482%
25695	43576	0.03468%
1109	43561	0.03467%
1701	43543	0.03465%
4513	43431	0.03456%
5500	43293	0.03445%
1200	43184	0.03437%
3163	42917	0.03415%
70936	41899	0.03334%
102772	41727	0.03321%
55388	41111	0.03272%
90213	40401	0.03215%
73770	40390	0.03214%
6599	40205	0.03200%
3230	40183	0.03198%
13633	39974	0.03181%
4244	39262	0.03125%
42651	39244	0.03123%
29630	39219	0.03121%
64128	39205	0.03120%
779	38709	0.03081%
8713	37884	0.03015%
5457	37381	0.02975%
257	37366	0.02974%
14551	37323	0.02970%
6496	37287	0.02967%
37290	37116	0.02954%
34982	37027	0.02947%
62954	36895	0.02936%
15773	36820	0.02930%
3628	36504	0.02905%
27769	36381	0.02895%
3305	35882	0.02856%
80926	35716	0.02842%
3638	35393	0.02817%
636	34582	0.02752%
10158	34359	0.02734%
38922	33451	0.02662%
19151	33185	0.02641%
7982	32845	0.02614%
55503	32833	0.02613%
54118	32665	0.02600%
7704	32537	0.02589%
50556	32112	0.02556%
2246	32089	0.02554%
15515	32040	0.02550%
2450	32030	0.02549%
35541	31963	0.02544%
767	31882	0.02537%
1003	31347	0.02495%
35053	31237	0.02486%
13841	30920	0.02461%
2592	30695	0.02443%
105644	30546	0.02431%
4149	30524	0.02429%
11199	30115	0.02397%
2431	29929	0.02382%
4413	29884	0.02378%
15572	29786	0.02370%
4457	29687	0.02363%
24239	29641	0.02359%
27760	29580	0.02354%
5448	29034	0.02311%
48407	28922	0.02302%
2642	28903	0.02300%
8133	28481	0.02267%
90765	28463	0.02265%
56251	28453	0.02264%
12076	28394	0.02260%
49488	28325	0.02254%
102	28280	0.02251%
9616	28104	0.02237%
11960	27985	0.02227%
1203	27160	0.02161%
29888	27150	0.02161%
44741	26798	0.02133%
44694	26753	0.02129%
5829	26722	0.02127%
1692	26653	0.02121%
48844	26511	0.02110%
15137	26491	0.02108%
52535	26022	0.02071%
9762	25982	0.02068%
61812	25916	0.02062%
100058	25716	0.02047%
11175	25551	0.02033%
11695	25270	0.02011%
91282	25255	0.02010%
115976	25230	0.02008%
68623	25227	0.02008%
26329	25092	0.01997%
1030	24957	0.01986%
47065	24609	0.01958%
2908	24247	0.01930%
25698	24121	0.01920%
1279	24083	0.01917%
1305	23822	0.01896%
7298	23391	0.01862%
4325	23351	0.01858%
85770	23335	0.01857%
7555	23003	0.01831%
64244	22881	0.01821%
19255	22791	0.01814%
6	22691	0.01806%
18756	22627	0.01801%
3394	22584	0.01797%
329921	22479	0.01789%
5455	22456	0.01787%
5451	22242	0.01770%
161	22237	0.01770%
10871	22234	0.01769%
232257	22048	0.01755%
84065	22014	0.01752%
17138	21951	0.01747%
2304	21943	0.01746%
21017	21812	0.01736%
14208	21784	0.01734%
20805	21193	0.01687%
7288	21190	0.01686%
17438	21160	0.01684%
31835	21068	0.01677%
13339	21058	0.01676%
9999	20852	0.01659%
4583	20602	0.01640%
3269	20519	0.01633%
33611	20488	0.01631%
1157	20483	0.01630%
2907	20258	0.01612%
29425	20235	0.01610%
2691	20097	0.01599%
6208	20091	0.01599%
24536	20020	0.01593%
89	20017	0.01593%
1141	20003	0.01592%
186501	19868	0.01581%
13222	19808	0.01576%
33587	19747	0.01572%
638	19493	0.01551%
41790	19452	0.01548%
56351	19384	0.01543%
36608	19161	0.01525%
4777	19108	0.01521%
171078	19107	0.01521%
741	19060	0.01517%
62400	18788	0.01495%
25841	18734	0.01491%
2595	18530	0.01475%
9455	18529	0.01475%
9735	18507	0.01473%
5117	18406	0.01465%
1232	18401	0.01464%
25219	18361	0.01461%
52620	18355	0.01461%
6081	18333	0.01459%
66672	18234	0.01451%
4036	18094	0.01440%
18483	18066	0.01438%
62112	17497	0.01392%
2077	17338	0.01380%
1136	17284	0.01376%
9739	17225	0.01371%
20431	17211	0.01370%
2567	17172	0.01367%
5223	17071	0.01359%
6468	16921	0.01347%
186	16795	0.01337%
5948	16605	0.01321%
1443	16572	0.01319%
6571	16318	0.01299%
4786	15600	0.01242%
12840	15518	0.01235%
53985	15512	0.01235%
6371	15421	0.01227%
11834	15372	0.01223%
478	15317	0.01219%
69430	15281	0.01216%
20087	15236	0.01213%
35050	15152	0.01206%
12425	15109	0.01202%
12830	15073	0.01200%
771	14958	0.01190%
83	14951	0.01190%
3578	14920	0.01187%
80861	14856	0.01182%
177923	14823	0.01180%
41144	14816	0.01179%
2520	14806	0.01178%
2191	14802	0.01178%
78699	14750	0.01174%
103	14653	0.01166%
29518	14645	0.01166%
198763	14613	0.01163%
956	14585	0.01161%
5687	14383	0.01145%
2435	14358	0.01143%
4766	14113	0.01123%
20794	13970	0.01112%
5888	13939	0.01109%
18255	13869	0.01104%
78651	13776	0.01096%
39167	13577	0.01081%
3938	13321	0.01060%
16330	13234	0.01053%
71882	13209	0.01051%
1541	13156	0.01047%
69409	12945	0.01030%
54163	12939	0.01030%
4727	12866	0.01024%
2521	12781	0.01017%
10280	12730	0.01013%
3743	12670	0.01008%
85167	12493	0.00994%
7844	12343	0.00982%
21814	12330	0.00981%
274	12323	0.00981%
51187	12245	0.00975%
25018	12242	0.00974%
1618	12214	0.00972%
56849	12058	0.00960%
30406	11947	0.00951%
4226	11918	0.00948%
133	11908	0.00948%
37	11870	0.00945%
1447	11696	0.00931%
76420	11610	0.00924%
66139	11575	0.00921%
22391	11512	0.00916%
8037	11482	0.00914%
2818	11436	0.00910%
66	11363	0.00904%
54195	11335	0.00902%
1179	11278	0.00898%
32460	11244	0.00895%
53965	11177	0.00890%
23530	11111	0.00884%
17585	11036	0.00878%
6002	10997	0.00875%
4157	10977	0.00874%
7114	10957	0.00872%
7976	10944	0.00871%
740	10932	0.00870%
20636	10910	0.00868%
10166	10652	0.00848%
99674	10630	0.00846%
1564	10501	0.00836%
17468	10499	0.00836%
49834	10480	0.00834%
50851	10429	0.00830%
79283	10424	0.00830%
114872	10387	0.00827%
19361	10352	0.00824%
7596	10264	0.00817%
8005	10211	0.00813%
5670	10209	0.00812%
1364	10130	0.00806%
33757	10057	0.00800%
71874	10041	0.00799%
970	10036	0.00799%
7275	10029	0.00798%
44872	9979	0.00794%
12494	9948	0.00792%
12731	9939	0.00791%
1253	9925	0.00790%
858	9923	0.00790%
23823	9871	0.00786%
7332	9870	0.00785%
56947	9863	0.00785%
1990	9849	0.00784%
12039	9840	0.00783%
13912	9790	0.00779%
7702	9745	0.00776%
38418	9735	0.00775%
42961	9721	0.00774%
30104	9663	0.00769%
17003	9615	0.00765%
4526	9536	0.00759%
55615	9485	0.00755%
47562	9403	0.00748%
5725	9402	0.00748%
217	9377	0.00746%
5052	9333	0.00743%
1057	9269	0.00738%
190625	9169	0.00730%
49071	9131	0.00727%
637	9126	0.00726%
21669	9033	0.00719%
48568	9011	0.00717%
8261	8978	0.00715%
2067	8959	0.00713%
389	8929	0.00711%
2650	8926	0.00710%
14330	8922	0.00710%
21150	8908	0.00709%
52652	8907	0.00709%
6099	8895	0.00708%
11043	8879	0.00707%
24107	8862	0.00705%
5318	8825	0.00702%
759	8802	0.00700%
22152	8767	0.00698%
190753	8745	0.00696%
2468	8683	0.00691%
10792	8670	0.00690%
10423	8648	0.00688%
9502	8593	0.00684%
1073	8559	0.00681%
16456	8465	0.00674%
1320	8438	0.00672%
20120	8417	0.00670%
36410	8377	0.00667%
18328	8332	0.00663%
3427	8321	0.00662%
78067	8251	0.00657%
11611	8243	0.00656%
1628	8198	0.00652%
8091	8191	0.00652%
5463	8188	0.00652%
22683	8182	0.00651%
1081	8133	0.00647%
31704	8103	0.00645%
29431	8068	0.00642%
10902	8066	0.00642%
41504	8021	0.00638%
383	7992	0.00636%
