#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Male_S4_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Male_S4_R2_001.fastq.gz
#Total	108806166
#Matched	24018747	22.07480%
#Name	Reads	ReadsPct
11667	19986	0.01837%
15876	19881	0.01827%
12084	19870	0.01826%
1482	19364	0.01780%
92813	18808	0.01729%
12359	18689	0.01718%
35053	18634	0.01713%
38186	18334	0.01685%
21452	18171	0.01670%
7681	18148	0.01668%
41144	17936	0.01648%
171078	17737	0.01630%
20805	17666	0.01624%
64128	17658	0.01623%
70936	17653	0.01622%
946	17638	0.01621%
42651	17563	0.01614%
167826	17490	0.01607%
4457	17471	0.01606%
485	17443	0.01603%
50556	17410	0.01600%
779	17282	0.01588%
3638	17275	0.01588%
13633	17252	0.01586%
21451	17044	0.01566%
126797	16677	0.01533%
31880	16586	0.01524%
54742	16404	0.01508%
1003	16174	0.01486%
24239	16011	0.01472%
643	15950	0.01466%
6181	15892	0.01461%
33973	15838	0.01456%
73770	15774	0.01450%
16571	15703	0.01443%
2691	15245	0.01401%
549	15104	0.01388%
155	15038	0.01382%
14551	15022	0.01381%
63401	14985	0.01377%
1701	14910	0.01370%
186	14726	0.01353%
621	14602	0.01342%
17559	14583	0.01340%
33470	14556	0.01338%
66	14447	0.01328%
29920	14216	0.01307%
37290	14050	0.01291%
11186	13961	0.01283%
102772	13874	0.01275%
23584	13863	0.01274%
6496	13783	0.01267%
1200	13739	0.01263%
76456	13690	0.01258%
2007	13672	0.01257%
64244	13429	0.01234%
2345	13363	0.01228%
22391	13301	0.01222%
44741	13250	0.01218%
53965	13240	0.01217%
4157	13231	0.01216%
3628	13132	0.01207%
52535	13037	0.01198%
5455	13026	0.01197%
16853	12949	0.01190%
18756	12928	0.01188%
53749	12878	0.01184%
2304	12868	0.01183%
62112	12786	0.01175%
38922	12680	0.01165%
35541	12542	0.01153%
60957	12520	0.01151%
55388	12417	0.01141%
9616	12226	0.01124%
6599	12139	0.01116%
25695	12084	0.01111%
11199	12052	0.01108%
36222	11992	0.01102%
105644	11980	0.01101%
9376	11909	0.01095%
3394	11817	0.01086%
55503	11679	0.01073%
9762	11623	0.01068%
8133	11584	0.01065%
32468	11397	0.01047%
33587	11389	0.01047%
94913	11344	0.01043%
267	11301	0.01039%
791	11213	0.01031%
31835	11192	0.01029%
3163	11110	0.01021%
3230	10998	0.01011%
19255	10904	0.01002%
10535	10833	0.00996%
232257	10700	0.00983%
5500	10688	0.00982%
102	10667	0.00980%
7982	10629	0.00977%
2592	10626	0.00977%
21017	10621	0.00976%
4867	10556	0.00970%
29431	10552	0.00970%
9999	10491	0.00964%
61812	10427	0.00958%
13339	10329	0.00949%
1109	10306	0.00947%
2450	10252	0.00942%
10871	10236	0.00941%
767	10141	0.00932%
33611	10124	0.00930%
198763	10035	0.00922%
38418	9938	0.00913%
15773	9880	0.00908%
12737	9875	0.00908%
2191	9846	0.00905%
161	9822	0.00903%
54163	9821	0.00903%
24536	9819	0.00902%
4413	9774	0.00898%
38235	9771	0.00898%
115976	9746	0.00896%
4244	9674	0.00889%
19151	9591	0.00881%
83	9529	0.00876%
9739	9508	0.00874%
10280	9500	0.00873%
63693	9348	0.00859%
55615	9335	0.00858%
638	9310	0.00856%
62954	9244	0.00850%
25018	9219	0.00847%
636	9209	0.00846%
27760	9181	0.00844%
1692	9089	0.00835%
29888	9056	0.00832%
1279	8957	0.00823%
72135	8921	0.00820%
11960	8911	0.00819%
8713	8870	0.00815%
61	8834	0.00812%
56251	8704	0.00800%
17138	8629	0.00793%
2595	8605	0.00791%
48407	8574	0.00788%
13841	8527	0.00784%
4818	8507	0.00782%
1203	8379	0.00770%
548	8364	0.00769%
2520	8362	0.00769%
5457	8302	0.00763%
6	8254	0.00759%
