#File	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Root_S5_R1_001.fastq.gz	/home/jkimball/data_release/umgc/novaseq/190828_A00223_0198_BHCMFVDRXX/Kimball_Project_003/Root_S5_R2_001.fastq.gz
#Total	113348972
#Matched	97921687	86.38957%
#Name	Reads	ReadsPct
21452	49524	0.04369%
4744	49520	0.04369%
1109	49265	0.04346%
8713	49169	0.04338%
70936	48708	0.04297%
1806	48485	0.04277%
4244	47743	0.04212%
1200	47733	0.04211%
7681	47605	0.04200%
42651	47310	0.04174%
64128	47227	0.04167%
3305	46853	0.04134%
34265	45964	0.04055%
2642	45716	0.04033%
13852	45517	0.04016%
76456	45326	0.03999%
1701	45211	0.03989%
55388	44749	0.03948%
5140	44737	0.03947%
3638	44392	0.03916%
13841	44001	0.03882%
50911	43862	0.03870%
6496	43240	0.03815%
267	43139	0.03806%
50556	42714	0.03768%
12737	42395	0.03740%
33973	42115	0.03716%
3163	42102	0.03714%
38922	41975	0.03703%
37290	41773	0.03685%
15773	41062	0.03623%
23133	40087	0.03537%
4513	39857	0.03516%
91282	39521	0.03487%
15515	39348	0.03471%
1482	39041	0.03444%
1279	38982	0.03439%
11960	38972	0.03438%
6599	38873	0.03429%
90765	38390	0.03387%
2592	38185	0.03369%
3628	37793	0.03334%
2431	37776	0.03333%
3230	37735	0.03329%
24575	37731	0.03329%
27769	37427	0.03302%
73770	37141	0.03277%
105644	37105	0.03274%
7982	36944	0.03259%
2246	35817	0.03160%
56251	35391	0.03122%
14551	34962	0.03084%
29630	34951	0.03083%
13633	34935	0.03082%
55503	34601	0.03053%
636	34567	0.03050%
767	34261	0.03023%
10158	33482	0.02954%
27760	33198	0.02929%
779	33131	0.02923%
48844	33076	0.02918%
7704	32379	0.02857%
257	32282	0.02848%
8133	31844	0.02809%
12076	31758	0.02802%
11695	31697	0.02796%
34982	31465	0.02776%
4457	31430	0.02773%
90213	31174	0.02750%
102	30736	0.02712%
33470	30736	0.02712%
4413	30725	0.02711%
49488	30683	0.02707%
7555	30615	0.02701%
11199	30527	0.02693%
52535	30209	0.02665%
2450	29865	0.02635%
9616	29783	0.02628%
1003	29293	0.02584%
26329	28268	0.02494%
1030	27678	0.02442%
35541	27613	0.02436%
17438	27081	0.02389%
19255	27053	0.02387%
14208	27048	0.02386%
161	26672	0.02353%
13339	26644	0.02351%
62400	26592	0.02346%
25219	26582	0.02345%
15137	26458	0.02334%
80926	26415	0.02330%
61812	26350	0.02325%
35053	26281	0.02319%
29888	26239	0.02315%
1203	26146	0.02307%
64244	26105	0.02303%
54118	25980	0.02292%
115976	25516	0.02251%
13222	25311	0.02233%
47065	25009	0.02206%
2908	24962	0.02202%
48407	24807	0.02189%
25698	24649	0.02175%
9735	24383	0.02151%
18483	24211	0.02136%
2077	24190	0.02134%
6	24165	0.02132%
24239	24129	0.02129%
25841	24069	0.02123%
4583	24004	0.02118%
29425	23983	0.02116%
4149	23925	0.02111%
1692	23892	0.02108%
329921	23196	0.02046%
1305	22908	0.02021%
771	22878	0.02018%
2818	22864	0.02017%
17138	22776	0.02009%
44741	22698	0.02002%
66672	22432	0.01979%
5829	22418	0.01978%
36608	22318	0.01969%
15572	22238	0.01962%
12425	22230	0.01961%
3269	22032	0.01944%
6208	22027	0.01943%
18756	21998	0.01941%
1136	21867	0.01929%
68623	21788	0.01922%
4226	21746	0.01918%
20805	21669	0.01912%
44694	21649	0.01910%
9762	21450	0.01892%
11175	21367	0.01885%
89	21173	0.01868%
5448	20810	0.01836%
232257	20763	0.01832%
19151	20505	0.01809%
2907	20459	0.01805%
186501	20336	0.01794%
1232	20333	0.01794%
56351	20241	0.01786%
33611	20233	0.01785%
7288	20233	0.01785%
5455	20138	0.01777%
9999	20101	0.01773%
1157	20025	0.01767%
5223	19871	0.01753%
39167	19807	0.01747%
5117	19630	0.01732%
4036	19486	0.01719%
24536	19463	0.01717%
478	19459	0.01717%
52620	19457	0.01717%
6081	19269	0.01700%
1141	19135	0.01688%
3394	19041	0.01680%
6371	18825	0.01661%
84065	18606	0.01641%
10871	18514	0.01633%
12840	18438	0.01627%
21017	18151	0.01601%
4766	18095	0.01596%
35050	17983	0.01587%
69430	17848	0.01575%
56849	17830	0.01573%
177923	17804	0.01571%
1541	17773	0.01568%
2304	17726	0.01564%
198763	17725	0.01564%
4777	17619	0.01554%
638	17283	0.01525%
186	17237	0.01521%
71882	17195	0.01517%
9455	17175	0.01515%
32460	17140	0.01512%
1443	17091	0.01508%
100058	16982	0.01498%
4786	16975	0.01498%
2521	16962	0.01496%
9739	16901	0.01491%
16330	16580	0.01463%
41790	16507	0.01456%
7275	16463	0.01452%
6571	16448	0.01451%
62112	16277	0.01436%
11834	16205	0.01430%
2595	16169	0.01426%
85770	16060	0.01417%
7298	15978	0.01410%
5948	15788	0.01393%
2567	15782	0.01392%
2191	15698	0.01385%
1081	15662	0.01382%
20431	15612	0.01377%
171078	15497	0.01367%
31835	15475	0.01365%
4325	15457	0.01364%
103	15407	0.01359%
3743	15405	0.01359%
85167	15352	0.01354%
5451	15262	0.01346%
3578	15188	0.01340%
78651	15140	0.01336%
741	15125	0.01334%
18255	15023	0.01325%
1179	14981	0.01322%
274	14942	0.01318%
83	14791	0.01305%
12830	14261	0.01258%
78699	14201	0.01253%
50851	14120	0.01246%
4727	14078	0.01242%
79283	14040	0.01239%
19596	13953	0.01231%
2435	13922	0.01228%
5052	13908	0.01227%
21814	13744	0.01213%
41144	13733	0.01212%
20087	13662	0.01205%
30104	13662	0.01205%
51187	13601	0.01200%
66139	13549	0.01195%
69409	13468	0.01188%
2691	13455	0.01187%
1618	13298	0.01173%
33587	13297	0.01173%
5888	13269	0.01171%
23823	13107	0.01156%
740	12991	0.01146%
6468	12885	0.01137%
14929	12664	0.01117%
7596	12609	0.01112%
25018	12580	0.01110%
37	12568	0.01109%
133	12563	0.01108%
80861	12523	0.01105%
16456	12396	0.01094%
1364	12366	0.01091%
53985	12354	0.01090%
10166	12315	0.01086%
7332	12116	0.01069%
2520	12100	0.01067%
18328	12004	0.01059%
20794	11970	0.01056%
6002	11910	0.01051%
52652	11858	0.01046%
7374	11838	0.01044%
31704	11733	0.01035%
47562	11688	0.01031%
78067	11624	0.01026%
1447	11613	0.01025%
76420	11597	0.01023%
5687	11481	0.01013%
17468	11378	0.01004%
22391	11337	0.01000%
29518	11188	0.00987%
17585	11182	0.00987%
33757	11147	0.00983%
637	11143	0.00983%
44872	11111	0.00980%
21150	11059	0.00976%
54163	11032	0.00973%
20636	10983	0.00969%
42961	10953	0.00966%
970	10880	0.00960%
23530	10879	0.00960%
5725	10852	0.00957%
162257	10850	0.00957%
8005	10844	0.00957%
3938	10784	0.00951%
99674	10749	0.00948%
56947	10699	0.00944%
322	10668	0.00941%
3427	10651	0.00940%
