Female,Leaf,Male,Seed,Stem,Tau,Gene,Tissue.Specific
11.3342400784485,8.47284825314286,7.89483086345657,9.21260798751838,7.85008327690972,0.400706618934007,FUN_000001,NA
5.69424157688792,29.8395664344545,4.03524816458886,4.67417394369927,3.97273923136389,0.871377513702935,FUN_000005,Leaf
5.95321757325075,12.2278625110936,4.97855959562407,7.37150918661509,4.00203626585001,0.625005267498923,FUN_000007,NA
37.2239328924753,11.9360143798455,12.0334742687381,10.578560109387,34.4872048880043,0.626537490944895,FUN_000008,NA
14.5501206785559,15.8859168859011,18.9577318968395,29.4012324738097,13.1537204646804,0.570685721019454,FUN_000009,NA
33.4971852867914,44.8605956857259,28.5949038746735,25.3599813282786,32.5250661197152,0.463042594068759,FUN_000010,NA
18.1474372058971,25.5690746347426,17.3142943399602,14.7807601301308,19.8904935049976,0.447869029183987,FUN_000012,NA
2.06266501427647,0.989165067289083,4.80738807935481,0.16965182119872,0.12359386838646,0.826774060045882,FUN_000023,Male
15.4419076295682,31.0822817693097,7.89323862866058,20.1825790113113,8.93365561607543,0.658111153757741,FUN_000026,NA
4.9905846365046,3.54387891792119,1.66678217575266,2.652266639809,0,0.658028716417035,FUN_000027,NA
22.4796597044622,16.2585572073714,28.2076964384554,16.5246826543034,26.2626128753826,0.41926865369294,FUN_000030,NA
1.72870972625075,2.11021881021671,2.29514011530487,0.610746556315393,1.03818849444627,0.464135767175339,FUN_000031,NA
27.8613504104881,24.7848414274761,42.2290660131262,15.1286189142083,31.7714985769072,0.52636655687759,FUN_000032,NA
9.85678854822247,151.260484316334,4.28756985864522,30.9227767535331,0.126560121227735,0.938984053155775,FUN_000037,Leaf
11.72485452738,26.5555625555361,20.9650211565049,10.7357197414741,11.5539436514084,0.581294098084384,FUN_000039,NA
0,0,0,0.0705046529657019,0,0.985439201274404,FUN_000043,Seed
1.77076540461025,1.18885566772772,1.67745299634007,3.21143729142366,1.33690268902537,0.594073531352141,FUN_000045,NA
29.3640924841114,16.1664220714907,13.0538065376204,46.3017200961063,39.3087156186144,0.574767255200537,FUN_000047,NA
18.6111626934941,13.9573527604885,8.90899248843603,24.1092603857835,29.1486893378839,0.546460467676243,FUN_000050,NA
1.94921463143143,0.327165707010343,0.307749774522338,0.505010072405493,0,0.785990191413468,FUN_000053,NA
41.9536668742277,25.0015054688719,19.6341011039007,52.2822655937621,44.7087384771891,0.495968810731201,FUN_000054,NA
22.7901653177965,20.3258534228232,21.7750977585103,20.1176420482335,16.4020223999155,0.306893053881352,FUN_000058,NA
8.55770743017943,8.24581299790564,14.053367592237,11.6788883971421,6.3147119310057,0.498211224100557,FUN_000059,NA
1.91319653498107,4.58743219612329,2.8767913705349,0,0.343913372901455,0.733812121978716,FUN_000060,NA
10.6167223591965,52.0520639853455,11.6893622689401,12.5466946877631,5.80067222293787,0.840605339360749,FUN_000063,Leaf
22.530798232323,68.5298781931764,11.7919963109054,15.2653044658809,14.7235784596623,0.810235460498892,FUN_000064,Leaf
15.1043829616859,31.6532821532507,18.0578591654618,27.546429042044,9.08186055106433,0.555612055905613,FUN_000067,NA
5.22618840592028,11.751022394148,4.28134245144312,17.7981392968947,2.10933535379559,0.728900216630015,FUN_000074,NA
18.8762600106015,33.5152399269713,14.1784717547792,17.7920565425212,23.3311988187684,0.554401812741987,FUN_000078,NA
11.4723463651186,6.85821113320431,18.1129976667304,17.9152323185848,3.36175322011172,0.556222845701818,FUN_000079,NA
0.130284294017956,2.84278181687225,1.74843330447536,3.82551671428409,0.81968990432471,0.6759866098178,FUN_000080,NA
15.2393143911912,3.83676147312129,4.41108010148685,2.19347809226628,0,0.852242492316647,FUN_000084,Female
81.1671151731865,68.4454391293089,20.3641055462424,0.337545592436832,0.163937980864942,0.778175363878008,FUN_000085,NA
10.2828856211488,9.70835490962321,9.3224584253468,11.1005408886575,5.45866337563714,0.365919793757564,FUN_000090,NA
3.28749167343542,0,1.54309869274628,436.610651644706,203.200547995944,0.904290549679974,FUN_000091,Seed
0.413566920155682,1.9436225883575,13.4508922831523,42.430813386122,4.37131997661586,0.900643369418984,FUN_000093,Seed
4.02538468951531,6.47874196119166,8.09665360733441,3.14302321378681,8.603867890482,0.484251114371172,FUN_000097,NA
6.41069673461125,8.53638726622319,6.33117897168851,3.37863881538611,23.5174482691566,0.784232078480535,FUN_000102,NA
33.3578545557353,37.3624357836315,31.6951967052469,25.5639730573414,45.3335536974775,0.433830309199481,FUN_000105,NA
29.7670872648525,40.9630710218538,24.8123255708635,28.741014414842,46.0641617703889,0.458286839451813,FUN_000106,NA
20.6110752760145,16.8925444398422,13.2501626066402,21.7154331134362,31.4174981244682,0.535879605560518,FUN_000108,NA
0.171053528880718,0.143552300014742,3.17327701178391,0.0738620173926401,0,0.915147560367103,FUN_000109,Male
79.4996933502467,209.474387227512,191.08798999641,14.983648848271,54.2626519763915,0.674909944885049,FUN_000110,NA
34.8192504492293,92.8496276495353,94.13543992851,10.4528525495184,24.453989525359,0.653202742232974,FUN_000111,NA
25.8684620906587,55.5640348589436,64.3335405448864,7.34262846281655,12.803969099029,0.682051801183267,FUN_000113,NA
21.2764274000093,49.8778991505768,35.1189838849145,6.22610320035583,13.1649077151228,0.69347903728459,FUN_000114,NA
0,0,0,0,0,1,FUN_000115,Female
117.287139758358,234.978741784874,20.1131212054533,3.05283277191543,4.07040177688671,0.876283231831172,FUN_000119,Leaf
11.7783858860338,16.4374938901091,25.0735079452937,9.82909077766059,12.3229591721742,0.59324186450116,FUN_000120,NA
